title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21705,
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,64894,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,243938,
Platoon,movie,"Drama, War",1986,tt0091763,8.1,455978,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136119,
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1094,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,153028,
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,248171,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,772959,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,530946,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,347416,
Airplane!,movie,Comedy,1980,tt0080339,7.7,273642,
"An American Werewolf in London",movie,"Comedy, Horror",1981,tt0082010,7.5,128451,
"Animal Farm",movie,"Comedy, Drama, Family",1999,tt0204824,6,6712,
"The Bridge on the River Kwai",movie,"Adventure, Drama, War",1957,tt0050212,8.1,241765,
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,364818,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,176935,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213958,
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20883,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,285822,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,439657,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1568813,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,368635,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,174382,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.6,214788,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31987,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69190,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89390,
"The Flintstones in Viva Rock Vegas",movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26302,
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,92287,
"Bringing Up Baby",movie,Comedy,1938,tt0029947,7.8,68257,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,206831,
"The City of Lost Children",movie,"Adventure, Drama, Fantasy",1995,tt0112682,7.4,73372,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12463,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29988,
"The Thomas Crown Affair",movie,"Crime, Romance, Thriller",1999,tt0155267,6.9,104167,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,248630,
"Mother India",movie,"Action, Comedy, Drama",1957,tt0050188,7.8,10133,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106138,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,281133,
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,8,118490,
"Galaxy Quest",movie,"Adventure, Comedy, Sci-Fi",1999,tt0177789,7.4,185600,
"Don't Look Now",movie,"Drama, Horror, Mystery",1973,tt0069995,7.1,66150,
"Murderers Among Us",movie,"Drama, Romance, Thriller",1946,tt0038769,7.4,2743,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,59242,
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,323301,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,757515,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169114,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,458144,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,489052,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,391779,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,404186,
Spaceballs,movie,"Adventure, Comedy, Sci-Fi",1987,tt0094012,7.1,214962,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,123792,
"The Phantom of the Opera",movie,"Horror, Music",1925,tt0016220,7.5,21160,
"The Magnificent Seven",movie,"Action, Adventure, Drama",1960,tt0054047,7.7,106588,
"Sweet Smell of Success",movie,"Drama, Film-Noir",1957,tt0051036,8,37968,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,155092,
"The Manchurian Candidate",movie,"Drama, Thriller",1962,tt0056218,7.9,82525,
"The Man Who Fell to Earth",movie,"Drama, Sci-Fi",1976,tt0074851,6.6,30041,
