title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92985,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,295354,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1165797,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98344,
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1098826,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115836,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1214520,
Faces,movie,Drama,1968,tt0062952,7.4,12327,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,355270,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,627638,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1324649,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,346298,
"Home Alone",movie,"Comedy, Family",1990,tt0099785,7.7,695832,
"Home Alone 2: Lost in New York",movie,"Adventure, Comedy, Crime",1992,tt0104431,6.9,428901,
"Little Miss Sunshine",movie,"Comedy, Drama",2006,tt0449059,7.8,537182,
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997,tt0119177,7.7,335766,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,567492,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,153028,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1909552,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256167,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,176309,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213958,
"The X Files",movie,"Drama, Mystery, Sci-Fi",1998,tt0120902,7,112430,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,285822,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,446755,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,439657,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1568813,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,198621,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100961,
Crash,movie,Drama,1996,tt0115964,6.4,69572,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,261854,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,117004,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,286598,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,195494,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183865,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176682,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,757515,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,489052,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,391779,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,404186,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174969,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1513542,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117699,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,261150,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88661,
