title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,275688,
8½,movie,Drama,1963,tt0056801,8,129216,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,967519,
"Ice Age",movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,542850,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,444750,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,25210,
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36888,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87946,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1021528,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,234084,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42055,
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,124673,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1136747,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,208371,
"Being John Malkovich",movie,"Comedy, Drama, Fantasy",1999,tt0120601,7.7,362157,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1484364,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29514,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113085,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56152,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,364936,
Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,89158,
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153257,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,752078,
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14715,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,189302,
Basquiat,movie,"Biography, Drama",1996,tt0115632,6.9,22941,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,922843,
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,746149,
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,668480,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,392119,
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,545799,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,326263,
"Fat Girl",movie,Drama,2001,tt0243255,6.4,13430,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,212806,
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51364,
"The Man Who Knew Too Much",movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,72577,
"The Wild Bunch",movie,"Action, Adventure, Drama",1969,tt0065214,7.9,92971,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,252576,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,472574,
